Dimensions_Height,Dimensions_Length,Dimensions_Width,Engine Type,Number of Forward Gears,City mpg,Highway mpg,Model Year,Identification_Year,Engine Statistics_Horsepower,Engine Statistics_Torque
203,14,72,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,18,26,2011 Volvo S60,2011,300,325
213,243,69,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,19,27,2011 Volvo S80,2011,240,236
213,243,69,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6,15,22,2010 Volvo S80,2010,311,325
213,243,69,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6,16,24,2010 Volvo S80,2010,281,295
213,243,69,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,18,27,2010 Volvo S80,2010,235,236
177,169,234,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5,21,30,2011 Volvo V50,2011,227,236
193,169,234,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6,20,26,2010 Volvo V50,2010,227,236
177,169,234,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,5,20,31,2010 Volvo V50,2010,168,170
175,19,97,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,17,22,2011 Volvo XC60,2011,300,325
175,19,97,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,18,25,2011 Volvo XC60,2011,240,236
175,19,97,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6,16,21,2010 Volvo XC60,2010,281,295
175,19,97,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,18,27,2010 Volvo XC60,2010,235,236
66,230,69,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,18,25,2011 Volvo XC70,2011,240,236
66,230,69,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6,17,22,2011 Volvo XC70,2011,300,325
66,230,69,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6,16,21,2010 Volvo XC70,2010,281,295
66,230,69,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,16,22,2010 Volvo XC70,2010,235,236
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,23,2011 Toyota 4Runner,2011,270,278
24,216,24,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,22,2011 Toyota 4Runner,2011,270,278
93,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,22,2011 Toyota 4Runner,2011,270,278
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,23,2011 Toyota 4Runner,2011,270,278
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,22,2011 Toyota 4Runner,2011,270,278
247,200,105,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,6,16,22,2011 Volvo XC90,2011,240,236
247,200,105,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6,14,21,2011 Volvo XC90,2011,311,325
247,200,105,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,15,22,2010 Volvo XC90,2010,235,236
247,200,105,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6,13,19,2010 Volvo XC90,2010,311,325
10,215,69,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6,18,27,2010 Volvo V70,2010,235,236
24,216,133,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,4,18,23,2010 Toyota 4Runner,2010,157,178
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,23,2010 Toyota 4Runner,2010,270,278
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,22,2010 Toyota 4Runner,2010,270,278
93,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,22,2010 Toyota 4Runner,2010,270,278
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,23,2010 Toyota 4Runner,2010,270,278
24,216,133,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,5,17,22,2010 Toyota 4Runner,2010,270,278
143,196,203,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6,21,30,2012 Audi A3,2012,200,207
152,240,57,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,6,17,25,2010 Honda Accord Coupe,2010,271,251
152,240,57,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5,21,31,2010 Honda Accord Coupe,2010,190,162
152,240,57,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5,22,31,2010 Honda Accord Coupe,2010,190,162
152,240,57,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5,21,31,2010 Honda Accord Coupe,2010,190,162
152,240,57,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,5,19,28,2010 Honda Accord Coupe,2010,271,251
